head_type,rel,tail_type
数码产品,has,流处理器
电脑硬件,has,3DAPI
大学,has,主任
葡萄酒,has,酒堡/生产者
家用电器,has,压缩机
豆科菜,has,品种类别
小说,has,出品公司
手机,has,硬盘
游戏,has,卡包
数码产品,has,光驱类型
角色,has,家族
油画作品,has,材料
音乐团体,has,经纪公司
手机,has,主屏尺寸
主板,has,INTEL芯片
外交人员,has,职业
竞速游戏,has,背景音乐
初中学校,has,主要院系
数码产品,has,系统内存
数码产品,has,显示屏类型
CPU,has,L2缓存
玩乐/收藏,has,种族
数码产品,has,打印方式
角色,has,父亲
体育竞技游戏,has,背景音乐
绘画作品,has,年代
诗作,has,时代
组织机构,has,主任
电子电器产品,has,机型
电脑,has,机箱结构
书籍,has,出版机构
数码产品,has,适用主板
手机,has,配置
手机软件,has,开发公司
智能设备,has,存储容量
人物,has,祖母
悬疑小说,has,开本
智能手机,has,主屏材质
歌词,has,歌曲语言
游戏,has,适用游戏
中学校,has,班级
服务器,has,CPU插槽
电脑,has,电脑类型
图书,has,学位授予单位
期刊,has,出版社
主食,has,主料
歌曲,has,竹笛
歌曲,has,音乐发行
图书,has,相关图书
人物,has,住所
运动员,has,生日
书籍,has,职业
传记小说,has,装帧
影视从业人员,has,合作影人
饼/囊/馍,has,主要食材
作品与出版物,has,开本
宗教哲学类书籍,has,出版社
学院,has,在校生
休闲益智游戏,has,支持终端
杂粮粗粮,has,主料
植物,has,亚属模式种
电脑硬件,has,存储介质
书籍,has,时间
歌曲,has,人声录音棚
电脑主板,has,主芯片组
网络小说,has,出版社
电脑硬件,has,显卡芯片
轻小说,has,ISBN
穿越小说,has,装帧
益智类小游戏,has,支持终端
数码相机,has,广角镜头
人物,has,弟弟
人物,has,时代
数码产品,has,显卡类型
物品,has,面板材质
教学人员,has,职业
植物,has,植株大小
生活软件,has,开发商
叶菜类,has,品种审定编号
电子电器产品,has,存储容量
泰国电视剧,has,首播电视台
电脑配件,has,CPU描述
游戏,has,角色
美术作品,has,材质
古风歌曲,has,歌曲原唱
医疗器械,has,生产厂商
国家机关,has,书记
计算机网络设备,has,处理器
机械轴承,has,轴承系列
机箱,has,机箱类型
物品,has,职业
数码产品,has,可选配件
笔记本电脑,has,电池
金融业务人员,has,民族
摄影摄像,has,传感器
数码产品,has,摄像头像素
农作物,has,品种(生态)类型
休闲游戏,has,支持终端
机械设备,has,公司
主板,has,CPU描述
电脑,has,主板芯片组
主板,has,CPU插槽类型
小游戏,has,支持终端
笔记本电脑,has,光驱描述
公寓,has,医院
事业单位,has,主任
图册,has,ISBN
手机,has,CPU厂商
厨卫电器,has,室内机噪音
武器,has,人物
智能手机,has,机身内存
政府部门,has,下设科室
手机,has,系统内存
菜品,has,调味料
教育组织机构,has,人物
赛车游戏,has,时间
音乐单曲,has,歌曲原唱
电脑硬件,has,CPU架构
电器,has,材质
数码产品,has,电源版本
学校,has,院系
播放软件,has,开发商
家庭影院,has,显示芯片
运动员,has,丈夫
鼠标,has,鼠标接口
图书,has,版式设计
美发用品,has,刀片类型
中央处理器,has,芯片厂商
家用笔记本电脑,has,主板芯片组
数码产品,has,控制端口
乐队,has,键盘手
手机游戏,has,ISBN
交换机,has,交换机类型
人物,has,角色
电脑配件,has,主板架构
雕塑家,has,职业
物品,has,武器
导航仪,has,屏幕
数码产品,has,总线
幼儿园,has,办园形式
数码相机,has,内存
书籍,has,内文用纸
电子电器产品,has,显示芯片型号
影音设备,has,光源
数码产品,has,投影镜头
主板,has,主板架构
软体动物,has,亚种
剧情电影,has,出品公司
研究生,has,职业
虚拟物品,has,种族
都市小说,has,装帧
塔防游戏,has,厂商
古代职位,has,时代
同人小说,has,小说分类
电脑硬件,has,支持CPU类型
图书,has,唱片公司
幼儿园,has,教学班
物品,has,CPU型号
交通工具,has,变速箱
汽车,has,车型厢式
显卡,has,AMD芯片
人民政府部门,has,公务员
角色扮演游戏,has,制作工具
街机游戏,has,支持终端
物品,has,产品材质
蟹类,has,亚种
策略游戏,has,运营公司
游戏,has,音乐
图画书,has,ISBN
原创小说,has,ISBN
人民政府,has,内设科室
物品,has,显存类型
电脑硬件,has,显存容量
数码产品,has,内置防火墙
漫画作品,has,连载杂志
笔记本电脑,has,公司
物品,has,内存类型
工具软件,has,开发公司
科幻小说,has,出版社
动物,has,有毒鱼类
歌曲,has,音乐制作发行
音乐单曲,has,发行公司
叶菜类,has,配料
诗歌,has,出版社
番茄类,has,主要食材
影音设备,has,最佳观看距离
射击类小游戏,has,支持终端
汽车,has,车身形式
影音电器,has,存储容量
食材,has,配料
中学校,has,院系设置
鱼类,has,调味品
家用电脑,has,CPU频率
教育组织机构,has,主席
文具,has,出版社
公司,has,开本
智能手机,has,摄像头像素
电子电器产品,has,打印字体
手机软件,has,开发商
手机游戏,has,开发厂商
网络电影,has,发行公司
歌曲,has,音乐制作
根茎类,has,调味品
植物,has,根茎
纪录片,has,影片片长
玄幻小说,has,出版社
轻小说,has,装帧
摄像机,has,视频输出
书籍,has,插图
手机,has,标配电池
电脑硬件,has,图形芯片
菜品,has,鸡蛋
手机,has,收音机
教育机构,has,在校生
调料菜,has,主料
摄像机,has,液晶屏像素
金融业务人员,has,国籍
益智类小游戏,has,开发商
数码产品,has,CPU
学术期刊,has,开本
管理软件,has,开发商
手机,has,产品电源
数码产品,has,CPU型号
书籍,has,其他出版社
家用电器,has,材质
电子电器产品,has,单碟容量
数码产品,has,背光源
手机,has,内置存储
书籍,has,绘画
公职职级,has,国籍
益智游戏,has,安卓系统
存储设备,has,显卡芯片
中央处理器,has,生产厂商
电脑配件,has,AMD芯片
显卡,has,网卡芯片
机械轴承,has,轴承质量
角色扮演游戏,has,研发公司
显卡,has,北桥芯片
歌曲,has,OP/发行
数码产品,has,显存类型
汽车,has,变速器类型
新闻出版工作人员,has,职业
电脑主板,has,CPU插槽
显卡,has,显卡属性
菜品,has,主要食材
电子电器产品,has,内存
私立大学,has,校歌
数码产品,has,内存类型
图书,has,卷册
农作物,has,审定机构
翻唱歌曲,has,歌曲
休闲游戏,has,出品公司
武侠小说,has,出版社
鱼类,has,佐料
短篇小说,has,ISBN
冒险游戏,has,人物
图书,has,编委会主任
播放机,has,处理器
硬盘,has,单碟容量
雕塑,has,材质
策略游戏,has,屏幕
笔记本电脑,has,摄像头
休闲类小游戏,has,开发商
植物,has,重庆特有种
笔记本电脑,has,笔记本处理器
言情小说,has,开本
电脑,has,显示芯片
笔记本电脑,has,网卡
电烤箱,has,内胆材质
笔记本电脑,has,CPU描述
冰箱,has,冷藏室
鱼纲,has,年代
豆浆机,has,杯体材质
电脑,has,CPU主频
武器,has,适用职业
桥梁,has,时间
乐器,has,时代
应用软件,has,支持屏幕
电子数码配件,has,硬盘接口
游戏服务,has,适用职业
文学书籍,has,出版社
数码产品,has,支持CPU数量
动作游戏,has,来自
完全小学,has,教学班
食物,has,材料
茄果瓜类,has,配料
电子数码配件,has,装帧
笔记本电脑,has,酷睿2双核
电子电器产品,has,IP电话功能
主食,has,鸡蛋
电脑,has,主板
武器,has,相关游戏
电子电器产品,has,定时
电脑硬件,has,主芯片组
居家日用,has,材质
汽车,has,配置
物品,has,传输接口
洗衣机,has,箱体材质
摇滚乐队,has,经纪公司
汽车,has,行李箱容积
动物,has,年代
密室逃脱游戏,has,日期
书籍,has,总策划
笔记本电脑,has,标准内存
动物,has,拉丁亚科
解谜游戏,has,支持终端
小说,has,连载杂志
鱼类,has,有毒鱼类
播放机,has,音频接口
3C数码类,has,显卡芯片
蟹类,has,配料
笔记本电脑,has,CPU型
画册,has,开本
澳大利亚电影,has,发行公司
运动员,has,国籍
手机,has,CPU型号
农作物,has,籽粒
摄像头,has,镜头
茄果瓜类,has,调味料
历史事件,has,人物
电脑配件,has,集成CPU
主食,has,主要食材
企业,has,ISBN
职业,has,国籍
甜品点心,has,配料
图书,has,出版机构
歌曲,has,曲编
菜品,has,作料
肉禽蛋类,has,调味品
漫画作品,has,出版商
政府部门,has,部长
外国歌曲,has,歌曲原唱
电脑硬件,has,机箱结构
街机游戏,has,出品公司
模拟驾驶游戏,has,开发商
漫画书,has,装帧
手机软件,has,发行公司
智能手机,has,CPU
学生,has,经纪公司
电脑主板,has,显示芯片
数码产品,has,内筒材质
影音设备,has,投影机特性
电脑配件,has,主板结构
节日,has,时间
路由器,has,WPS功能
建筑材料,has,基材
歌曲,has,Guitar
豆制品,has,配料
糕饼点心,has,配料
音乐团体,has,主音吉他
存储设备,has,显存容量
公司,has,分公司
戏曲,has,曲目
处长,has,国籍
电脑,has,厂商
图书,has,职业
数码产品,has,高速缓存
电子元器件,has,存储容量
文字游戏,has,开发商
模拟游戏,has,来自
数码产品,has,显卡
电脑机箱,has,机箱材质
CPU,has,生产厂商
工具软件,has,开发商
叶菜类,has,主要食材
智能手机,has,主摄像头
工具软件,has,出品公司
电脑主板,has,USB接口
家用电器,has,风嘴形式
野生动物,has,重庆特有种
电脑硬件,has,输出接口
食材,has,主要食材
音乐作品,has,ISBN
蘑菇,has,主料
智能手机,has,蓝牙传输
游戏,has,屏幕
镜头,has,镜头卡口
手机,has,前置摄像头
作品与出版物,has,ISBN
数码产品,has,传输接口
卡券,has,种族
宗教人物,has,父亲
一体机,has,CPU主频
人物,has,死亡
歌曲,has,歌曲原唱
乐曲,has,歌曲语言
菜品,has,所需厨具
家用五金,has,配件类别
笔记本电脑,has,厂商
音频设备,has,存储介质
汽车,has,研发公司
工程技术人员,has,民族
书籍,has,原出版社
院系,has,主要院系
电脑配件,has,SATA接口
武器,has,职业
音频设备,has,复读功能
数码产品,has,投影机类型
游戏服务,has,职业
手机软件,has,公司
数码产品,has,视频输出
物品,has,材料
主板,has,SATA接口
智能手机,has,屏幕
笔记本电脑,has,主电池
音乐团体,has,贝斯
模拟经营类小游戏,has,发行公司
机械设备,has,动力源
菜品,has,荸荠
显卡,has,芯片厂商
益智游戏,has,人物
图书,has,"丛书名十二五规划教材"""
角色扮演游戏,has,武器
平板电脑/MID,has,系统内存
角色,has,民族
委员会委员,has,职业
少儿音乐,has,歌曲原唱
电子电器产品,has,存储扩展
笔记本电脑,has,移动平台
网络小说,has,连载杂志
休闲游戏,has,安卓系统
电子电器产品,has,公司
3C数码类,has,显存容量
笔记本电脑,has,CPU频率
机械轴承,has,脂润滑
农业技术人员,has,民族
安卓软件,has,时间
动物,has,经济鱼类
歌曲,has,和声编唱
菜品,has,番茄酱
图书,has,内文用纸
益智类小游戏,has,日期
Vocaloid歌曲,has,歌曲原唱
事件,has,民族
笔记本电脑,has,触控
鱼类,has,年代
陨石,has,采集者
角色扮演游戏,has,CPU
组织机构,has,主管司法局
茄果瓜类,has,品种类别
电脑,has,光驱类型
角色扮演游戏,has,模拟软件
人民政府部门,has,组织机构
图书,has,封面绘制
音乐单曲,has,唱片公司
养成游戏,has,开发商
运动员,has,学校
歌曲,has,发行公司
歌曲,has,制作发行公司
动作游戏,has,发行公司
服务器,has,光驱
科技公司,has,登记机关
笔记本电脑,has,处理器平台
音乐作品,has,歌曲语言
绘本,has,开本
模拟驾驶游戏,has,发行公司
茄果瓜类,has,主要食材
国家领导,has,职业
电脑,has,适用主板
数码产品,has,适用CPU接口
植物,has,植物类别
角色,has,母亲
工艺品,has,材质
手机,has,传输接口
耳机,has,耳机线
建筑材料,has,原材料
中央处理器,has,二级缓存
音频设备,has,FM收音功能
汽车,has,燃油箱容积
企业,has,经营者
植物,has,栽培类型
电脑配件,has,主板接口
音乐播放器,has,内存
大学,has,时间
葡萄酒,has,来自
打印机,has,进纸方式
主板,has,内存类型
人民政府部门,has,主任
文字游戏,has,发行公司
区人民政府部门,has,主任
豆腐,has,主要材料
数码产品,has,印字颜色
摄像头,has,传感器像素
动漫作品,has,动画制作
手机游戏,has,安卓系统
显卡,has,显示芯片系列
休闲类小游戏,has,日期
影视作品,has,ISBN
公司,has,国家
电脑硬件,has,散热方式
少儿音乐,has,发行公司
玩乐/收藏,has,发行公司
汽车,has,前/后轮距
历史书籍,has,开本
虾类,has,厨具
民歌,has,歌曲原唱
策略类小游戏,has,开发商
模拟经营类小游戏,has,日期
调料菜,has,主要食材
甜品点心,has,主要食材
动物品种,has,寄主昆虫
导航仪,has,蓝牙免提
角色扮演游戏,has,背景音乐
摇滚乐队,has,唱片公司
菜品,has,选料
Vocaloid歌曲,has,发行公司
汽车,has,轮胎
咨询师,has,职业
悬疑小说,has,装帧
数码产品,has,刀头类型
歌曲,has,公司
处理器,has,L3缓存
冒险游戏,has,支持固件
动作游戏,has,公司
灯具,has,材料
电脑硬件,has,音频芯片
影音设备,has,显示芯片
播放器,has,存储容量
豆制品,has,主要食材
糕饼点心,has,主要食材
中学校,has,校歌
芯片,has,CPU主频
歌曲,has,音乐出品
二级学院,has,学院前身
电脑,has,内存插槽
戏曲,has,演出单位
塔防游戏,has,屏幕
歌曲,has,口琴
电子电器产品,has,摄像头
游戏,has,支持屏幕
移动存储设备,has,存储容量
图书,has,其他出版社
音频设备,has,出版社
显卡,has,生产厂商
电子电器产品,has,CPU描述
政治人物,has,民族
作品与出版物,has,装帧
数码产品,has,蓝牙版本
电子元器件,has,制造商
古诗词,has,词牌
名菜,has,主要食材
儿童游戏,has,开发商
机械设备,has,材质
显示器,has,CPU型号
一体机,has,光驱类型
纸牌类游戏,has,开发商
教育软件,has,开发商
球队,has,主席
电影电视制作及舞台专业人员,has,国籍
家常菜,has,主料
数码产品,has,前置接口
数码产品,has,无线网卡
数码产品,has,进纸方式
数码产品,has,硬盘类型
工具软件,has,公司
书籍,has,策划编辑
工业产品,has,轴承型号
品牌轴承,has,轴承品牌
宗教人物,has,逝世
家常菜,has,佐料
中学校,has,在校学生
电脑,has,电源版本
数码产品,has,主屏幕
公立大学,has,院系设置
歌曲,has,二胡
博物馆,has,设计师
数码产品,has,主板板型
汽车,has,燃油系统
3C数码,has,处理器
冒险游戏,has,时间
豆科菜,has,研究所
人民政府部门,has,学校
农业技术人员,has,国籍
路由器,has,其它端口
菜品,has,工具
海鲜水产,has,观赏鱼类
牌类游戏,has,种族
儿童书籍,has,出版社
电脑,has,总线
角接触球轴承,has,轴承型号
鱼类,has,经济鱼类
汽车,has,前悬挂形式
敏捷类小游戏,has,日期
学校,has,学生数量
书籍,has,存储容量
竞速游戏,has,开发商
电脑,has,CPU内核
笔记本电脑,has,配件类型
政治人物,has,母亲
公寓,has,投资商
滚子轴承,has,轴承系列
植物,has,是否引种栽培
战争游戏,has,发行公司
养成游戏,has,发行公司
体育竞技游戏,has,开发商
数码相机,has,高清摄像
电子电器产品,has,主板架构
路由器,has,无线安全
电脑硬件,has,显示芯片
菜品,has,冬笋
电子电器产品,has,硬盘
卡牌类游戏,has,开发商
二级学院,has,主要院系
歌曲,has,长笛
镜头,has,驱动马达
古诗词,has,部分诗词
播放机,has,存储介质
学校,has,现有教学班
桥梁,has,材料
电脑硬件,has,CPU主频
CPU,has,二级缓存
笔记本电脑,has,扫描元件
播放机,has,ISBN
陶瓷制品,has,时期
腌腊制品,has,主要食材
电脑硬件,has,显存位宽
物品,has,旧型号
电脑,has,光驱
言情小说,has,ISBN
电脑硬件,has,PCI插槽
传统滋补营养品,has,主料
军人,has,民族
电脑硬件,has,USB接口
手机,has,手机天线
主打歌曲,has,和声编写
纪录片,has,国家
电脑配件,has,芯片组描述
物品,has,存储容量
策略游戏,has,支持终端
图书,has,总策划
镜头,has,镜头画幅
图书,has,ISBN—10
影视从业人员,has,国籍
冒险游戏,has,CPU
食物,has,所用厨具
电脑,has,有线网卡
休闲益智游戏,has,厂商
主板,has,CPU种类
数据线,has,配件类型
历史事件,has,时间
面粉类,has,主料
笔记本电脑,has,酷睿
军队,has,国籍
手机,has,机身存储
主板,has,芯片组描述
漫画作品,has,开本
手机,has,蓝牙版本
虚拟物品,has,发行公司
书法作品,has,材质
策略类小游戏,has,发行公司
艺术创作专业人员,has,职业
面粉类,has,佐料
歌曲,has,小提琴独奏
数码产品,has,机型
计算机软件,has,开发公司
播放机,has,输出端口
含酒精饮料,has,材料
笔记本电脑,has,独立显卡
教育机构,has,院系设置
电脑硬件,has,插槽
数码产品,has,显示屏材质
歌曲,has,音乐制作公司
手机,has,铃声
职业学校,has,院系设置
数码产品,has,标配CPU数量
歌曲,has,歌词
菜品,has,洋葱
服务器,has,内存类型
文学作品,has,开本
蘑菇,has,主要食材
计算机网络设备,has,局域网接口
电脑,has,笔记本类型
影视作品,has,装帧
应用软件,has,来自
文玩古董,has,装饰
图书,has,连载报刊
图书,has,成品
捕鱼类游戏,has,开发商
陶艺师,has,年代
牛奶,has,主要食材
面粉类,has,所用厨具
网络摄像机,has,成像器件
机械设备,has,研发单位
数码产品,has,存储卡
模拟经营游戏,has,背景音乐
植物,has,管状花目
数码产品,has,时钟功能
汤,has,主要材料
个人电脑,has,二级缓存
图书,has,材料
儿童游戏,has,发行公司
外国歌曲,has,唱片公司
数码产品,has,灯泡
电子电器产品,has,CD—ROM
数码产品,has,打印功能
手机,has,铃声格式
作品与出版物,has,年代
CPU,has,CPU架构
职业,has,民族族群
书籍,has,编译
陶艺师,has,国籍
游戏,has,ISBN
书籍,has,出版社
菜品,has,调味汁
电子电器产品,has,CPU频率
童话故事,has,出版社
影音设备,has,光驱类型
数码产品,has,存储容量
企业,has,登记机关
社会事件,has,人物
歌曲,has,手风琴
书籍,has,绘图
公司,has,装帧
电子电器产品,has,缓存
房地产公司,has,登记机关
人物,has,国家
电视机,has,内置日历
外交人员,has,民族
歌曲,has,曲
角色扮演游戏,has,运营
个人电脑,has,显卡芯片
导航仪,has,内存
网络歌曲,has,歌曲语言
菜品,has,韭菜
厨房电器,has,发热锅材质
图书,has,原出版社
食物,has,配料
应用软件,has,内存
农作物,has,适种地区
图书,has,上卷
数码产品,has,HDMI
作品与出版物,has,国籍
古诗词,has,时期
笔记本电脑,has,芯片厂商
音箱,has,配件类型
图书,has,纸张类型
主板,has,适用CPU接口
演艺组合,has,生日
杂志,has,开本
刊物,has,出版社
菜品,has,主要材料
连环画,has,绘画
竞速游戏,has,发行公司
数码产品,has,芯片组
内存条,has,内存类型
武器,has,材料
蘑菇,has,特有种
医疗设备,has,医疗器械分类
体育竞技游戏,has,发行公司
农作物,has,研发公司
乐队,has,歌曲语言
策略类小游戏,has,日期
歌曲,has,曲绘
角色扮演游戏,has,种族
数码产品,has,网络端口
卡牌类游戏,has,发行公司
图书,has,合作公司
物品,has,出版社
歌曲,has,唱片公司
音乐,has,存储容量
动画片,has,发行公司
学校,has,教学班
存储设备,has,硬盘盘位
中央处理器,has,L3缓存
菜品,has,白菜
数码产品,has,RAM
机械设备,has,生产厂商
数码相机,has,镜头
战争,has,时期
陶瓷制品,has,年代
摄像机,has,感光元件
人文社科类书籍,has,出版社
网络设备,has,网线接口类型
食物,has,调味料
手机,has,机型
影视歌曲,has,歌曲原唱
电脑,has,屏幕
电脑,has,CPU核心
爱情歌曲,has,歌曲原唱
流行歌曲,has,歌曲原唱
军人,has,国籍
书籍,has,开发商
乐队,has,专辑
数码产品,has,内筒材料
显卡,has,3DAPI
网络摄像机,has,处理器
中央处理器,has,主芯片组
歌曲,has,录音/混音
笔记本电脑,has,处理器
主板,has,主板芯片
数码产品,has,显示芯片型号
游戏,has,出自游戏
数码产品,has,照相功能
电脑主板,has,内存类型
图书,has,事件
演艺组合,has,歌曲语言
品牌轴承,has,轴承外径
打印机,has,打印字体
图书,has,国内统一刊号
诗作,has,部分诗词
叶菜类,has,外叶
家用五金,has,开关
公职职级,has,职业
儿童游戏,has,日期
电脑,has,产品机型
手表,has,表带材质
博物馆,has,年代
赛车游戏,has,来自
镜头,has,卡口
游戏,has,开发厂商
学院,has,学生
少儿音乐,has,唱片公司
地图书籍,has,ISBN
手机,has,输入法
文玩古董,has,藏品类别
书籍,has,卷本
国家机关,has,局属单位
小说,has,开本
笔记本电脑,has,屏幕
教育组织机构,has,建设院校
动漫作品,has,音乐
厨房电器,has,面板
动物品种,has,亚种
电脑硬件,has,适用主板
人物,has,生日
电脑,has,生产厂商
游戏,has,最低配置
公职人员,has,国籍
IT公司,has,登记机关
智能手机,has,存储卡
Vocaloid歌曲,has,唱片公司
物品,has,开发商
野生动物,has,寄主昆虫
教育书籍,has,出版社
欧美电影,has,出品公司
手机,has,存储容量
人物,has,生卒
日韩电影,has,出品公司
石刻,has,材料
钢材,has,材质
汽车,has,变速箱
捕鱼类游戏,has,发行公司
绘本,has,ISBN
竞速游戏,has,日期
电脑,has,显卡
角色,has,发色
民族,has,国籍
显卡,has,显卡芯片
物品,has,制造商
歌曲,has,大提琴独奏
播放机,has,出品公司
体育竞技游戏,has,日期
插座,has,配件类型
影视歌曲,has,发行公司
菜品,has,原材料
射击游戏,has,安卓游戏授权
画册,has,装帧
打印机,has,制造商
科研学术机构,has,主任
纪录片,has,装帧
菜品,has,厨具
冒险游戏,has,原画
风扇,has,电源版本
电脑,has,显示器
电子电器产品,has,产品电源
纯音乐,has,歌曲语言
流行歌曲,has,发行公司
电脑硬件,has,显卡类型
电子电器产品,has,面板类型
笔记本电脑,has,生产厂商
电子电器产品,has,面板材质
葡萄酒,has,酒体
数码产品,has,打印字体
歌曲,has,次中音萨克斯
计算机软件,has,开发商
应用软件,has,发行公司
手机,has,RAM
大家电,has,内胆材质
射击游戏,has,内存
日韩漫画,has,职业
角色,has,祖母
网络设备,has,交换机类型
电子电器产品,has,机箱类型
历史书籍,has,ISBN
音乐,has,出版社
投影仪,has,光源
智能设备,has,材质
家常菜,has,主要食材
耳机,has,降噪功能
纯音乐,has,专辑
歌曲,has,弦乐
汽车,has,悬挂系统
电子电器产品,has,配件类型
厅局级领导,has,民族
学院,has,在校学生
学校,has,主要院系
歌曲,has,萨克斯
笔记本电脑,has,芯片
数码产品,has,供纸方式
歌曲,has,电视剧
电子数码配件,has,显卡供电接口
数码产品,has,单碟容量
服务器,has,硬盘类型
手机,has,照相功能
音频设备,has,箱体材质
运动员,has,职业
汽车,has,材料
面食,has,材料
灯具,has,光源
图书,has,编纂单位
人物,has,丈夫
电子科技公司,has,登记机关
大家电,has,主屏材质
笔记本电脑,has,显存
公司,has,国籍
手机,has,可选铃声
言情小说,has,小说分类
角色,has,弟弟
诗作,has,时期
乐团,has,歌曲语言
数码产品,has,内存
实验试剂耗材,has,原材料
政府,has,内设科室
电脑硬件,has,电源版本
人物,has,暗器
教科书,has,出版社
图书,has,印刷厂
期刊,has,开本
演艺组合,has,来自
民政局,has,登记管理机关
塔防游戏,has,支持终端
食物,has,主要食材
书籍,has,发行公司
数码产品,has,图像传感器
桥梁,has,设计师
植物,has,蔷薇目
海鲜水产,has,亚种
数码产品,has,RAM容量
公立大学,has,校歌
家用电器,has,最佳观看距离
亚洲大学,has,主要院系
网络小说,has,开本
乐团,has,专辑
动漫作品,has,武器
面粉类,has,鸡蛋
应用软件,has,公司
数码产品,has,后置摄像头
歌曲,has,视频
服务器,has,网络控制器
菜品,has,鸡胗
电脑硬件,has,CPU内核
野生动物,has,国家
传统滋补营养品,has,主要食材
公司,has,登记机关
播放机,has,视频接口
图书,has,提供方
3C数码,has,显卡芯片
虾类,has,调味品
特色小吃,has,材料
一体机,has,显卡
角色扮演游戏,has,开发公司
面粉类,has,装饰
省领导,has,民族
特菜野菜,has,引种地点
鱼类,has,食材
菜品,has,所需食材
智能设备,has,触摸屏
机械设备,has,生产商
书籍,has,年鉴年份
鸡尾酒,has,基酒
文玩古董,has,时代
贝壳类,has,材料
根茎类,has,食材
影音设备,has,CPU型号
电脑硬件,has,鼠标接口
物品,has,发行公司
数码产品,has,声道系统
面粉类,has,主要食材
数码产品,has,笔记本主频
公立大学,has,在校学生
显卡,has,显存容量
电脑,has,总核
数码产品,has,定时
电子电器产品,has,成像器件
宗教人物,has,国籍
音箱,has,音频接口
歌曲,has,大提琴
游戏,has,安卓游戏授权
歌曲,has,职业
图书,has,设计
教练,has,国籍
电脑,has,通讯功能
图书,has,装帧设计
电脑,has,声卡
地图书籍,has,装帧
赛车游戏,has,发行公司
服务器,has,机型
数码产品,has,内置
歌曲,has,时间
新闻出版工作人员,has,民族
教育组织机构,has,院系设置
中央处理器,has,CPU插槽
歌曲,has,笛子
花卉植物,has,亚种
人物,has,舅舅
明星,has,国籍
游戏,has,内存
人物,has,来自
服务器,has,标配CPU数量
代表歌曲,has,歌曲语言
中餐地方菜,has,主料
音乐,has,歌曲原唱
植物,has,品种审定编号
手机,has,开发商
图书,has,设计师
绘本,has,装帧
敏捷游戏,has,开发商
乐队,has,国籍
纪录片,has,年代
金融公司,has,登记机关
智能设备,has,处理器
数码产品,has,电池
虾类,has,佐料
漫画作品,has,ISBN
戏曲,has,民族
书籍,has,日期
录像机,has,视频输出
数码产品,has,光驱描述
影音电器,has,镜头
造型师,has,民族
蔬菜类及制品,has,主料
幼儿园,has,登记管理机关
季刊,has,出版商
运动员,has,民族
人民政府部门,has,时间
手机,has,制造商
戏曲,has,出品公司
菜品,has,菜系分类
书籍,has,版权引进公司
电脑主板,has,适用CPU接口
汽车,has,内饰
