head_type,rel,tail_type
第一章,synonym,第1章
法定代表,synonym,法定代表人
球衣号码,synonym,球衣号
缩混,synonym,混缩
注册资本金,synonym,注册资本
版次/印次,synonym,版次印次
教职工数,synonym,教职工人数
化学成份,synonym,化学成分
获得方式,synonym,获取方式
机构类别,synonym,机构类型
所属省份,synonym,所属省市
适宜人群,synonym,适合人群
实施时间,synonym,施行时间
毕业学校,synonym,毕业院校
化学成分,synonym,化学成份
ISBN号,synonym,ISBN编号
员工人数,synonym,员工数量
球衣号,synonym,球衣号码
Smiles,synonym,SMILES
其他特点,synonym,其它特点
出生地,synonym,出生地点
其它特点,synonym,其他特点
在校生人数,synonym,在校人数
企业荣誉,synonym,公司荣誉
最高分辨率,synonym,最大分辨率
机构类型,synonym,机构类别
op,synonym,OP
混缩,synonym,缩混
目前状态,synonym,目前状况
曾经效力球队,synonym,曾效力球队
門派,synonym,门派
申请日,synonym,申请日期
作者名,synonym,作者姓名
游戏名,synonym,游戏名称
初登场,synonym,初次登场
温控方式,synonym,控温方式
总部位置,synonym,总部地点
有效像素,synonym,有效像素数
市场价,synonym,市场价格
饰演者,synonym,扮演者
获取途径,synonym,获得途径
员工数,synonym,员工人数
命名人及时间,synonym,命名人、时间
代表作,synonym,代表作品
B(厚度),synonym,厚度B
作物类别,synonym,作物类型
会员数量,synonym,会员人数
喜欢的食物,synonym,喜爱的食物
承办单位,synonym,主办单位
成员数量,synonym,成员人数
CASNO,synonym,CASNo
版次印次,synonym,版次/印次
最大像素,synonym,最大像素数
法定代表人,synonym,法定代表
区域板块,synonym,板块区域
支持CPU数,synonym,支持CPU个数
适宜年龄,synonym,适合年龄
隶属机构,synonym,机构隶属
第1章,synonym,第一章
丛书名,synonym,丛书名称
所属位置,synonym,所在位置
产品尺寸及重量,synonym,产品尺寸重量
作物类型,synonym,作物种类
功能类别,synonym,功能类型
后期混缩,synonym,后期缩混
游戏名称,synonym,游戏名
混音母带,synonym,混音/母带
会员人数,synonym,会员数量
适合人群,synonym,适宜人群
OP,synonym,op
命名人及年代,synonym,命名者及年代
指导价,synonym,指导价格
出道时间,synonym,出道日期
机构隶属,synonym,隶属机构
命名者及时间,synonym,命名人及时间
学校类型,synonym,学校类别
所属地区,synonym,所在地区
建筑总面积,synonym,总建筑面积
产品品类,synonym,产品种类
外形尺寸,synonym,外型尺寸
成立年份,synonym,成立时间
代表作品,synonym,代表作
产品介绍,synonym,产品简介
教学方式,synonym,教学形式
英语名称,synonym,英文名称
分布地区,synonym,分布地域
编撰人员,synonym,编纂人员
发售日,synonym,发售日期
所属省份,synonym,所在省份
专辑类别,synonym,专辑类型
所属省市,synonym,所属省份
传输速度,synonym,传输速率
主办单位,synonym,承办单位
出道日期,synonym,出道时间
功能类型,synonym,功能类别
医院类型,synonym,医院类别
